provider,model,temperature,image,base_command,addition,transcribe_text,raw_score,corrected_score,raw_change_count,corrected_change_count,delta_time_in_s,certainty,student_handwriting_percent
google,gemini-2.0-flash-exp,1.5,gekreukeld_met_pijlen,de makkelijkste opdracht zonder extra uitleg,stof,stof  de makkelijkste opdracht zonder extra uitleg,1.2212121212121212,1.2212121212121212,17,17,0.003865044116973877,,1.0
google,gemini-2.0-flash-exp,1.5,gekreukeld_met_pijlen,de makkelijkste opdracht zonder extra uitleg,toets,toets  de makkelijkste opdracht zonder extra uitleg,1.2212121212121212,0.6242461548802998,17,6,0.005776883363723755,0.95,0.98
google,gemini-2.0-flash-exp,1.5,gekreukeld_met_pijlen,de makkelijkste opdracht zonder extra uitleg,antwoordmodel bij vraag,antwoordmodel bij vraag  de makkelijkste opdracht zonder extra uitleg,1.2212121212121212,1.2212121212121212,17,17,0.0054988799095153805,,1.0
google,gemini-2.0-flash-exp,1.5,gekreukeld_met_pijlen,de makkelijkste opdracht zonder extra uitleg,stof-toets-antwoordmodel,stof-toets-antwoordmodel  de makkelijkste opdracht zonder extra uitleg,1.2212121212121212,1.2212121212121212,17,17,0.003921423673629761,,1.0
google,gemini-2.0-flash-exp,1.5,gekreukeld_met_pijlen,de makkelijkste opdracht zonder extra uitleg,stof-antwoordmodel bij vraag-specifieke vraag vraag,stof-antwoordmodel bij vraag-specifieke vraag vraag  de makkelijkste opdracht zonder extra uitleg,1.7666666666666666,1.7666666666666666,12,12,0.00534992265701294,,1.0
google,gemini-2.0-flash-exp,1.5,gekreukeld_met_pijlen,de makkelijkste opdracht zonder extra uitleg,antwoordmodel bij vraag-specifieke vraag vraag,antwoordmodel bij vraag-specifieke vraag vraag  de makkelijkste opdracht zonder extra uitleg,1.2212121212121212,1.2212121212121212,17,17,0.004188827753067017,,1.0
google,gemini-2.0-flash-exp,1.5,gekreukeld_met_pijlen,huidige opdracht met uitleg bij elk veld,,  huidige opdracht met uitleg bij elk veld,1.2212121212121212,1.2212121212121212,17,17,0.006463653087615967,,75
google,gemini-2.0-flash-exp,1.5,gekreukeld_met_pijlen,huidige opdracht met uitleg bij elk veld,stof,stof  huidige opdracht met uitleg bij elk veld,1.7666666666666666,1.7666666666666666,12,12,0.006025168895721435,0.95,85
google,gemini-2.0-flash-exp,1.5,gekreukeld_met_pijlen,huidige opdracht met uitleg bij elk veld,toets,toets  huidige opdracht met uitleg bij elk veld,1.2212121212121212,1.2212121212121212,17,17,0.005477736949920655,,75
google,gemini-2.0-flash-exp,1.5,gekreukeld_met_pijlen,huidige opdracht met uitleg bij elk veld,antwoordmodel bij vraag,antwoordmodel bij vraag  huidige opdracht met uitleg bij elk veld,1.2212121212121212,1.2212121212121212,17,17,0.006328518629074097,,70
google,gemini-2.0-flash-exp,1.5,gekreukeld_met_pijlen,de makkelijkste opdracht zonder extra uitleg,antwoordmodel bij vraag-specifieke vraag vraag,antwoordmodel bij vraag-specifieke vraag vraag  de makkelijkste opdracht zonder extra uitleg,1.2212121212121212,1.2212121212121212,17,17,0.004802707433700561,,1.0
google,gemini-2.0-flash-exp,1.5,gekreukeld_met_pijlen,huidige opdracht met uitleg bij elk veld,,  huidige opdracht met uitleg bij elk veld,1.2212121212121212,1.2212121212121212,17,17,0.005311781406402588,,75
google,gemini-2.0-flash-exp,1.5,gekreukeld_met_pijlen,huidige opdracht met uitleg bij elk veld,stof,stof  huidige opdracht met uitleg bij elk veld,1.2212121212121212,1.0759753646902528,17,8,0.005642171144485474,0.95,85
google,gemini-2.0-flash-exp,1.5,gekreukeld_met_pijlen,huidige opdracht met uitleg bij elk veld,toets,toets  huidige opdracht met uitleg bij elk veld,1.2212121212121212,1.2212121212121212,17,17,0.00545460844039917,,80
google,gemini-2.0-flash-exp,1.5,gekreukeld_met_pijlen,huidige opdracht met uitleg bij elk veld,antwoordmodel bij vraag,antwoordmodel bij vraag  huidige opdracht met uitleg bij elk veld,1.2212121212121212,1.2212121212121212,17,17,0.005286949634552002,,70
google,gemini-2.0-flash-exp,1.5,gekreukeld_met_pijlen,de makkelijkste opdracht zonder extra uitleg,antwoordmodel bij vraag-specifieke vraag vraag,antwoordmodel bij vraag-specifieke vraag vraag  de makkelijkste opdracht zonder extra uitleg,1.2212121212121212,1.2212121212121212,17,17,0.005504433631896973,,1.0
google,gemini-2.0-flash-exp,1.5,gekreukeld_met_pijlen,huidige opdracht met uitleg bij elk veld,,  huidige opdracht met uitleg bij elk veld,1.2212121212121212,1.2212121212121212,17,17,0.0046235318183898925,,75
google,gemini-2.0-flash-exp,1.5,gekreukeld_met_pijlen,huidige opdracht met uitleg bij elk veld,stof,stof  huidige opdracht met uitleg bij elk veld,1.2212121212121212,1.0759753646902528,17,8,0.005840531587600708,0.95,80
google,gemini-2.0-flash-exp,1.5,gekreukeld_met_pijlen,huidige opdracht met uitleg bij elk veld,toets,toets  huidige opdracht met uitleg bij elk veld,1.2212121212121212,1.2212121212121212,17,17,0.005236595153808594,,80
google,gemini-2.0-flash-exp,1.5,gekreukeld_met_pijlen,huidige opdracht met uitleg bij elk veld,antwoordmodel bij vraag,antwoordmodel bij vraag  huidige opdracht met uitleg bij elk veld,1.2212121212121212,1.2212121212121212,17,17,0.005109958648681641,,70
google,gemini-2.0-flash-exp,1.5,gekreukeld_met_pijlen,huidige opdracht met uitleg bij elk veld,stof-toets-antwoordmodel,stof-toets-antwoordmodel  huidige opdracht met uitleg bij elk veld,1.2212121212121212,1.2212121212121212,17,17,0.005259985208511352,,75
google,gemini-2.0-flash-exp,1.5,gekreukeld_met_pijlen,huidige opdracht met uitleg bij elk veld,stof-antwoordmodel bij vraag-specifieke vraag vraag,stof-antwoordmodel bij vraag-specifieke vraag vraag  huidige opdracht met uitleg bij elk veld,1.7666666666666666,1.7666666666666666,12,12,0.004280454874038696,,70
google,gemini-2.0-flash-exp,1.5,gekreukeld_met_pijlen,huidige opdracht met uitleg bij elk veld,antwoordmodel bij vraag-specifieke vraag vraag,antwoordmodel bij vraag-specifieke vraag vraag  huidige opdracht met uitleg bij elk veld,1.2212121212121212,1.2212121212121212,17,17,0.005699131965637207,0.95,75
google,gemini-2.0-flash-exp,1.5,gekreukeld_met_pijlen,"lange uitleg bij elk veld, zonder context",,"  lange uitleg bij elk veld, zonder context",1.2212121212121212,0.7272106893090651,17,7,0.005736859560012818,95,75
google,gemini-2.0-flash-exp,1.5,gekreukeld_met_pijlen,"lange uitleg bij elk veld, zonder context",stof,"stof  lange uitleg bij elk veld, zonder context",1.2212121212121212,0.7071686066314282,17,8,0.006580789089202881,95,70
google,gemini-2.0-flash-exp,1.5,gekreukeld_met_pijlen,huidige opdracht met uitleg bij elk veld,stof-toets-antwoordmodel,stof-toets-antwoordmodel  huidige opdracht met uitleg bij elk veld,1.2212121212121212,1.2212121212121212,17,17,0.004398187160491943,,75
google,gemini-2.0-flash-exp,1.5,gekreukeld_met_pijlen,huidige opdracht met uitleg bij elk veld,stof-antwoordmodel bij vraag-specifieke vraag vraag,stof-antwoordmodel bij vraag-specifieke vraag vraag  huidige opdracht met uitleg bij elk veld,1.7666666666666666,1.7666666666666666,12,12,0.005416790962219239,,70
google,gemini-2.0-flash-exp,1.5,gekreukeld_met_pijlen,huidige opdracht met uitleg bij elk veld,antwoordmodel bij vraag-specifieke vraag vraag,antwoordmodel bij vraag-specifieke vraag vraag  huidige opdracht met uitleg bij elk veld,1.2212121212121212,1.2212121212121212,17,17,0.005133683919906616,0.95,75
google,gemini-2.0-flash-exp,1.5,gekreukeld_met_pijlen,"lange uitleg bij elk veld, zonder context",,"  lange uitleg bij elk veld, zonder context",1.2212121212121212,0.7272106893090651,17,7,0.0058257198333740235,95,75
google,gemini-2.0-flash-exp,1.5,gekreukeld_met_pijlen,"lange uitleg bij elk veld, zonder context",stof,"stof  lange uitleg bij elk veld, zonder context",1.2212121212121212,0.7071686066314282,17,8,0.006535261392593384,95,75
google,gemini-2.0-flash-exp,1.5,gekreukeld_met_pijlen,huidige opdracht met uitleg bij elk veld,stof-toets-antwoordmodel,stof-toets-antwoordmodel  huidige opdracht met uitleg bij elk veld,1.2212121212121212,1.2212121212121212,17,17,0.004170519828796387,,75
google,gemini-2.0-flash-exp,1.5,gekreukeld_met_pijlen,huidige opdracht met uitleg bij elk veld,stof-antwoordmodel bij vraag-specifieke vraag vraag,stof-antwoordmodel bij vraag-specifieke vraag vraag  huidige opdracht met uitleg bij elk veld,1.7666666666666666,1.7666666666666666,12,12,0.005488732576370239,,70
google,gemini-2.0-flash-exp,1.5,gekreukeld_met_pijlen,huidige opdracht met uitleg bij elk veld,antwoordmodel bij vraag-specifieke vraag vraag,antwoordmodel bij vraag-specifieke vraag vraag  huidige opdracht met uitleg bij elk veld,1.2212121212121212,1.2212121212121212,17,17,0.005285017728805542,0.95,75
google,gemini-2.0-flash-exp,1.5,gekreukeld_met_pijlen,"lange uitleg bij elk veld, zonder context",,"  lange uitleg bij elk veld, zonder context",1.2212121212121212,0.7272106893090651,17,7,0.006017372131347656,95,75
google,gemini-2.0-flash-exp,1.5,gekreukeld_met_pijlen,"lange uitleg bij elk veld, zonder context",stof,"stof  lange uitleg bij elk veld, zonder context",1.2212121212121212,0.7071686066314282,17,8,0.006706315994262696,95,75
google,gemini-2.0-flash-exp,1.5,gekreukeld_met_pijlen,"lange uitleg bij elk veld, zonder context",toets,"toets  lange uitleg bij elk veld, zonder context",1.2212121212121212,0.6889867884496099,17,7,0.00531346869468689,95,75
google,gemini-2.0-flash-exp,1.5,gekreukeld_met_pijlen,"lange uitleg bij elk veld, zonder context",antwoordmodel bij vraag,"antwoordmodel bij vraag  lange uitleg bij elk veld, zonder context",1.2212121212121212,0.6951915372920894,17,6,0.005860372543334961,95,75
google,gemini-2.0-flash-exp,1.5,gekreukeld_met_pijlen,"lange uitleg bij elk veld, zonder context",stof-toets-antwoordmodel,"stof-toets-antwoordmodel  lange uitleg bij elk veld, zonder context",1.2212121212121212,1.2212121212121212,17,17,0.006432667016983033,95,75.23
google,gemini-2.0-flash-exp,1.5,gekreukeld_met_pijlen,"lange uitleg bij elk veld, zonder context",stof-antwoordmodel bij vraag-specifieke vraag vraag,"stof-antwoordmodel bij vraag-specifieke vraag vraag  lange uitleg bij elk veld, zonder context",1.2212121212121212,0.7071686066314282,17,8,0.006423184871673584,95,75
google,gemini-2.0-flash-exp,1.5,gekreukeld_met_pijlen,"lange uitleg bij elk veld, zonder context",antwoordmodel bij vraag-specifieke vraag vraag,"antwoordmodel bij vraag-specifieke vraag vraag  lange uitleg bij elk veld, zonder context",1.2212121212121212,0.6951915372920894,17,6,0.005640335083007812,95,75
google,gemini-2.0-flash-exp,1.5,gekreukeld_met_pijlen,"lange uitleg bij elk veld, zonder context",toets,"toets  lange uitleg bij elk veld, zonder context",1.2212121212121212,0.6889867884496099,17,7,0.005766008377075195,95,75
google,gemini-2.0-flash-exp,1.5,gekreukeld_met_pijlen,"lange uitleg bij elk veld, zonder context",antwoordmodel bij vraag,"antwoordmodel bij vraag  lange uitleg bij elk veld, zonder context",1.2212121212121212,0.6951915372920894,17,6,0.004637869834899902,95,75
google,gemini-2.0-flash-exp,1.5,gekreukeld_met_pijlen,"lange uitleg bij elk veld, zonder context",stof-toets-antwoordmodel,"stof-toets-antwoordmodel  lange uitleg bij elk veld, zonder context",1.2212121212121212,1.2212121212121212,17,17,0.005537700891494751,95,75.23
google,gemini-2.0-flash-exp,1.5,gekreukeld_met_pijlen,"lange uitleg bij elk veld, zonder context",stof-antwoordmodel bij vraag-specifieke vraag vraag,"stof-antwoordmodel bij vraag-specifieke vraag vraag  lange uitleg bij elk veld, zonder context",1.2212121212121212,0.7071686066314282,17,8,0.007396102905273438,95,75
google,gemini-2.0-flash-exp,1.5,gekreukeld_met_pijlen,"lange uitleg bij elk veld, zonder context",antwoordmodel bij vraag-specifieke vraag vraag,"antwoordmodel bij vraag-specifieke vraag vraag  lange uitleg bij elk veld, zonder context",1.2212121212121212,0.6951915372920894,17,6,0.005704535961151123,95,75
google,gemini-2.0-flash-exp,1.5,gekreukeld_met_pijlen,"lange uitleg bij elk veld, zonder context",toets,"toets  lange uitleg bij elk veld, zonder context",1.2212121212121212,0.6889867884496099,17,7,0.006279460668563843,95,75
google,gemini-2.0-flash-exp,1.5,gekreukeld_met_pijlen,"lange uitleg bij elk veld, zonder context",antwoordmodel bij vraag,"antwoordmodel bij vraag  lange uitleg bij elk veld, zonder context",1.2212121212121212,0.6951915372920894,17,6,0.006643298387527466,95,75
google,gemini-2.0-flash-exp,1.5,gekreukeld_met_pijlen,"lange uitleg bij elk veld, zonder context",stof-toets-antwoordmodel,"stof-toets-antwoordmodel  lange uitleg bij elk veld, zonder context",1.2212121212121212,1.2212121212121212,17,17,0.006039947509765625,95,75.23
google,gemini-2.0-flash-exp,1.5,gekreukeld_met_pijlen,"lange uitleg bij elk veld, zonder context",stof-antwoordmodel bij vraag-specifieke vraag vraag,"stof-antwoordmodel bij vraag-specifieke vraag vraag  lange uitleg bij elk veld, zonder context",1.2212121212121212,0.6682933009297137,17,7,0.006837043762207031,95,70
google,gemini-2.0-flash-exp,1.5,gekreukeld_met_pijlen,"lange uitleg bij elk veld, zonder context",antwoordmodel bij vraag-specifieke vraag vraag,"antwoordmodel bij vraag-specifieke vraag vraag  lange uitleg bij elk veld, zonder context",1.2212121212121212,0.6951915372920894,17,6,0.0059593734741210935,95,75
google,gemini-2.0-flash-exp,1.5,slecht_leesbaar_pijlen,de makkelijkste opdracht zonder extra uitleg,stof-antwoordmodel bij vraag-specifieke vraag vraag,stof-antwoordmodel bij vraag-specifieke vraag vraag  de makkelijkste opdracht zonder extra uitleg,1.621212121212121,1.069675549571114,10,8,0.004257823467254639,0.9,0.95
google,gemini-2.0-flash-exp,1.5,slecht_leesbaar_pijlen,de makkelijkste opdracht zonder extra uitleg,antwoordmodel bij vraag-specifieke vraag vraag,antwoordmodel bij vraag-specifieke vraag vraag  de makkelijkste opdracht zonder extra uitleg,1.415151515151515,1.415151515151515,24,24,0.0027354416847229003,,1.0
google,gemini-2.0-flash-exp,1.5,slecht_leesbaar_pijlen,huidige opdracht met uitleg bij elk veld,,  huidige opdracht met uitleg bij elk veld,1.415151515151515,1.415151515151515,24,24,0.003916266679763794,,70
google,gemini-2.0-flash-exp,1.5,slecht_leesbaar_pijlen,huidige opdracht met uitleg bij elk veld,stof,stof  huidige opdracht met uitleg bij elk veld,1.415151515151515,1.415151515151515,24,24,0.0036937484741210937,,80
google,gemini-2.0-flash-exp,1.5,slecht_leesbaar_pijlen,huidige opdracht met uitleg bij elk veld,toets,toets  huidige opdracht met uitleg bij elk veld,1.415151515151515,1.415151515151515,24,24,0.0037463881969451904,,70
google,gemini-2.0-flash-exp,1.5,slecht_leesbaar_pijlen,de makkelijkste opdracht zonder extra uitleg,stof-antwoordmodel bij vraag-specifieke vraag vraag,stof-antwoordmodel bij vraag-specifieke vraag vraag  de makkelijkste opdracht zonder extra uitleg,1.621212121212121,1.069675549571114,10,8,0.004131674528121948,0.9,0.95
google,gemini-2.0-flash-exp,1.5,slecht_leesbaar_pijlen,de makkelijkste opdracht zonder extra uitleg,antwoordmodel bij vraag-specifieke vraag vraag,antwoordmodel bij vraag-specifieke vraag vraag  de makkelijkste opdracht zonder extra uitleg,1.415151515151515,1.415151515151515,24,24,0.0028920342922210693,,1.0
google,gemini-2.0-flash-exp,1.5,slecht_leesbaar_pijlen,huidige opdracht met uitleg bij elk veld,,  huidige opdracht met uitleg bij elk veld,1.415151515151515,1.415151515151515,24,24,0.003582925081253052,,70
google,gemini-2.0-flash-exp,1.5,slecht_leesbaar_pijlen,huidige opdracht met uitleg bij elk veld,stof,stof  huidige opdracht met uitleg bij elk veld,1.415151515151515,1.415151515151515,24,24,0.0034196393489837646,,80
google,gemini-2.0-flash-exp,1.5,slecht_leesbaar_pijlen,huidige opdracht met uitleg bij elk veld,toets,toets  huidige opdracht met uitleg bij elk veld,1.415151515151515,1.415151515151515,24,24,0.003692897081375122,,70
google,gemini-2.0-flash-exp,1.5,slecht_leesbaar_pijlen,de makkelijkste opdracht zonder extra uitleg,stof-antwoordmodel bij vraag-specifieke vraag vraag,stof-antwoordmodel bij vraag-specifieke vraag vraag  de makkelijkste opdracht zonder extra uitleg,1.415151515151515,1.415151515151515,24,24,0.0033931195735931396,,1.0
google,gemini-2.0-flash-exp,1.5,slecht_leesbaar_pijlen,de makkelijkste opdracht zonder extra uitleg,antwoordmodel bij vraag-specifieke vraag vraag,antwoordmodel bij vraag-specifieke vraag vraag  de makkelijkste opdracht zonder extra uitleg,1.415151515151515,1.415151515151515,24,24,0.0027094948291778564,,1.0
google,gemini-2.0-flash-exp,1.5,slecht_leesbaar_pijlen,huidige opdracht met uitleg bij elk veld,,  huidige opdracht met uitleg bij elk veld,1.415151515151515,1.415151515151515,24,24,0.003818188190460205,,70
google,gemini-2.0-flash-exp,1.5,slecht_leesbaar_pijlen,huidige opdracht met uitleg bij elk veld,stof,stof  huidige opdracht met uitleg bij elk veld,1.415151515151515,1.415151515151515,24,24,0.0035203680992126466,,80
google,gemini-2.0-flash-exp,1.5,slecht_leesbaar_pijlen,huidige opdracht met uitleg bij elk veld,toets,toets  huidige opdracht met uitleg bij elk veld,1.415151515151515,1.415151515151515,24,24,0.003747232675552368,,70
google,gemini-2.0-flash-exp,1.5,slecht_leesbaar_pijlen,huidige opdracht met uitleg bij elk veld,antwoordmodel bij vraag,antwoordmodel bij vraag  huidige opdracht met uitleg bij elk veld,1.415151515151515,1.415151515151515,24,24,0.003630103588104248,,70
google,gemini-2.0-flash-exp,1.5,slecht_leesbaar_pijlen,huidige opdracht met uitleg bij elk veld,stof-toets-antwoordmodel,stof-toets-antwoordmodel  huidige opdracht met uitleg bij elk veld,1.415151515151515,1.415151515151515,24,24,0.0042623159885406495,,70
google,gemini-2.0-flash-exp,1.5,slecht_leesbaar_pijlen,huidige opdracht met uitleg bij elk veld,stof-antwoordmodel bij vraag-specifieke vraag vraag,stof-antwoordmodel bij vraag-specifieke vraag vraag  huidige opdracht met uitleg bij elk veld,1.415151515151515,1.415151515151515,24,24,0.00361113977432251,,70
google,gemini-2.0-flash-exp,1.5,slecht_leesbaar_pijlen,huidige opdracht met uitleg bij elk veld,antwoordmodel bij vraag-specifieke vraag vraag,antwoordmodel bij vraag-specifieke vraag vraag  huidige opdracht met uitleg bij elk veld,1.415151515151515,1.415151515151515,24,24,0.0036183860301971437,,70
google,gemini-2.0-flash-exp,1.5,slecht_leesbaar_pijlen,"lange uitleg bij elk veld, zonder context",,"  lange uitleg bij elk veld, zonder context",1.293939393939394,0.6406733087048162,19,6,0.0037611367702484132,95,70
google,gemini-2.0-flash-exp,1.5,slecht_leesbaar_pijlen,huidige opdracht met uitleg bij elk veld,antwoordmodel bij vraag,antwoordmodel bij vraag  huidige opdracht met uitleg bij elk veld,1.415151515151515,1.415151515151515,24,24,0.0036781713962554933,,70
google,gemini-2.0-flash-exp,1.5,slecht_leesbaar_pijlen,huidige opdracht met uitleg bij elk veld,stof-toets-antwoordmodel,stof-toets-antwoordmodel  huidige opdracht met uitleg bij elk veld,1.415151515151515,1.415151515151515,24,24,0.0034552476406097413,,70
google,gemini-2.0-flash-exp,1.5,slecht_leesbaar_pijlen,huidige opdracht met uitleg bij elk veld,stof-antwoordmodel bij vraag-specifieke vraag vraag,stof-antwoordmodel bij vraag-specifieke vraag vraag  huidige opdracht met uitleg bij elk veld,1.415151515151515,1.415151515151515,24,24,0.00339341139793396,,70
google,gemini-2.0-flash-exp,1.5,slecht_leesbaar_pijlen,huidige opdracht met uitleg bij elk veld,antwoordmodel bij vraag-specifieke vraag vraag,antwoordmodel bij vraag-specifieke vraag vraag  huidige opdracht met uitleg bij elk veld,1.415151515151515,1.415151515151515,24,24,0.003546133518218994,,70
google,gemini-2.0-flash-exp,1.5,slecht_leesbaar_pijlen,"lange uitleg bij elk veld, zonder context",,"  lange uitleg bij elk veld, zonder context",1.293939393939394,0.6406733087048162,19,6,0.003629338979721069,95,70
google,gemini-2.0-flash-exp,1.5,slecht_leesbaar_pijlen,huidige opdracht met uitleg bij elk veld,antwoordmodel bij vraag,antwoordmodel bij vraag  huidige opdracht met uitleg bij elk veld,1.415151515151515,1.415151515151515,24,24,0.0036363513469696044,,70
google,gemini-2.0-flash-exp,1.5,slecht_leesbaar_pijlen,huidige opdracht met uitleg bij elk veld,stof-toets-antwoordmodel,stof-toets-antwoordmodel  huidige opdracht met uitleg bij elk veld,1.415151515151515,1.415151515151515,24,24,0.00366231369972229,,70
google,gemini-2.0-flash-exp,1.5,slecht_leesbaar_pijlen,huidige opdracht met uitleg bij elk veld,stof-antwoordmodel bij vraag-specifieke vraag vraag,stof-antwoordmodel bij vraag-specifieke vraag vraag  huidige opdracht met uitleg bij elk veld,1.415151515151515,1.415151515151515,24,24,0.0035858261585235596,,70
google,gemini-2.0-flash-exp,1.5,slecht_leesbaar_pijlen,huidige opdracht met uitleg bij elk veld,antwoordmodel bij vraag-specifieke vraag vraag,antwoordmodel bij vraag-specifieke vraag vraag  huidige opdracht met uitleg bij elk veld,1.415151515151515,1.415151515151515,24,24,0.0036094489097595215,,70
google,gemini-2.0-flash-exp,1.5,slecht_leesbaar_pijlen,"lange uitleg bij elk veld, zonder context",,"  lange uitleg bij elk veld, zonder context",1.293939393939394,0.6406733087048162,19,6,0.005087645769119263,95,70
google,gemini-2.0-flash-exp,1.5,slecht_leesbaar_pijlen,"lange uitleg bij elk veld, zonder context",stof,"stof  lange uitleg bij elk veld, zonder context",1.415151515151515,1.3103929993564254,24,5,0.005060295104980469,95,75
google,gemini-2.0-flash-exp,1.5,slecht_leesbaar_pijlen,"lange uitleg bij elk veld, zonder context",toets,"toets  lange uitleg bij elk veld, zonder context",1.7181818181818183,1.1528754031179238,10,2,0.004694451808929443,95,75
google,gemini-2.0-flash-exp,1.5,slecht_leesbaar_pijlen,"lange uitleg bij elk veld, zonder context",antwoordmodel bij vraag,"antwoordmodel bij vraag  lange uitleg bij elk veld, zonder context",1.415151515151515,0.7535420905659448,24,6,0.0050059564113616945,95,70
google,gemini-2.0-flash-exp,1.5,slecht_leesbaar_pijlen,"lange uitleg bij elk veld, zonder context",stof-toets-antwoordmodel,"stof-toets-antwoordmodel  lange uitleg bij elk veld, zonder context",1.2393939393939393,1.183444816081229,25,5,0.004986841201782227,95,75
google,gemini-2.0-flash-exp,1.5,slecht_leesbaar_pijlen,"lange uitleg bij elk veld, zonder context",stof-antwoordmodel bij vraag-specifieke vraag vraag,"stof-antwoordmodel bij vraag-specifieke vraag vraag  lange uitleg bij elk veld, zonder context",1.2212121212121212,1.202816907514465,24,4,0.0037640585899353027,95,75
google,gemini-2.0-flash-exp,1.5,slecht_leesbaar_pijlen,"lange uitleg bij elk veld, zonder context",stof,"stof  lange uitleg bij elk veld, zonder context",1.415151515151515,1.3103929993564254,24,5,0.004592034816741943,95,75
google,gemini-2.0-flash-exp,1.5,slecht_leesbaar_pijlen,"lange uitleg bij elk veld, zonder context",toets,"toets  lange uitleg bij elk veld, zonder context",1.7181818181818183,1.1187751328209072,10,3,0.003806824207305908,95,75
google,gemini-2.0-flash-exp,1.5,slecht_leesbaar_pijlen,"lange uitleg bij elk veld, zonder context",antwoordmodel bij vraag,"antwoordmodel bij vraag  lange uitleg bij elk veld, zonder context",1.415151515151515,0.7535420905659448,24,6,0.004335678100585937,95,70
google,gemini-2.0-flash-exp,1.5,slecht_leesbaar_pijlen,"lange uitleg bij elk veld, zonder context",stof-toets-antwoordmodel,"stof-toets-antwoordmodel  lange uitleg bij elk veld, zonder context",1.2393939393939393,1.183444816081229,25,5,0.005018210887908935,95,75
google,gemini-2.0-flash-exp,1.5,slecht_leesbaar_pijlen,"lange uitleg bij elk veld, zonder context",stof-antwoordmodel bij vraag-specifieke vraag vraag,"stof-antwoordmodel bij vraag-specifieke vraag vraag  lange uitleg bij elk veld, zonder context",1.7181818181818183,1.202816907514465,10,4,0.004408397436141968,95,75
google,gemini-2.0-flash-exp,1.5,slecht_leesbaar_pijlen,"lange uitleg bij elk veld, zonder context",stof,"stof  lange uitleg bij elk veld, zonder context",1.415151515151515,1.3103929993564254,24,5,0.004790254116058349,95,75
google,gemini-2.0-flash-exp,1.5,slecht_leesbaar_pijlen,"lange uitleg bij elk veld, zonder context",toets,"toets  lange uitleg bij elk veld, zonder context",1.5606060606060606,1.1066052059066358,12,3,0.003997058153152466,95,70
google,gemini-2.0-flash-exp,1.5,slecht_leesbaar_pijlen,"lange uitleg bij elk veld, zonder context",antwoordmodel bij vraag,"antwoordmodel bij vraag  lange uitleg bij elk veld, zonder context",1.415151515151515,0.7474814845053388,24,6,0.004155462741851807,95,75
